date,open,high,low,close,volume,stock_name,ticker
10/24/2025,4.25,4.25,4.25,4.25,163.53K,Abctrans,ABCTRANS
10/23/2025,4.25,4.25,4.25,4.25,326.01K,Abctrans,ABCTRANS
10/22/2025,4.25,4.25,4.25,4.25,408.28K,Abctrans,ABCTRANS
10/21/2025,4.25,4.25,4.25,4.25,605.23K,Abctrans,ABCTRANS
10/20/2025,4.25,4.25,4.25,4.25,413.37K,Abctrans,ABCTRANS
10/17/2025,4.11,4.25,4.25,4.25,542.79K,Abctrans,ABCTRANS
10/16/2025,4.05,4.11,4.11,4.11,662.32K,Abctrans,ABCTRANS
10/15/2025,4.05,4.05,4.05,4.05,173.27K,Abctrans,ABCTRANS
10/14/2025,4.05,4.05,4.05,4.05,219.56K,Abctrans,ABCTRANS
10/13/2025,4.05,4.05,4.05,4.05,252.79K,Abctrans,ABCTRANS
10/10/2025,4.05,4.05,4.05,4.05,151.29K,Abctrans,ABCTRANS
10/09/2025,4.05,4.05,4.05,4.05,459.97K,Abctrans,ABCTRANS
10/08/2025,4.05,4.05,4.05,4.05,190.25K,Abctrans,ABCTRANS
10/07/2025,4.05,4.05,4.05,4.05,223.84K,Abctrans,ABCTRANS
10/06/2025,4.3,4.05,4.05,4.05,712.60K,Abctrans,ABCTRANS
10/03/2025,4.3,4.3,4.3,4.3,201.00K,Abctrans,ABCTRANS
10/02/2025,4.3,4.3,4.3,4.3,141.21K,Abctrans,ABCTRANS
09/30/2025,4.3,4.3,4.3,4.3,298.76K,Abctrans,ABCTRANS
09/29/2025,4.3,4.3,4.3,4.3,289.83K,Abctrans,ABCTRANS
09/26/2025,4.3,4.3,4.3,4.3,287.92K,Abctrans,ABCTRANS
09/25/2025,4.3,4.3,4.3,4.3,417.35K,Abctrans,ABCTRANS
09/24/2025,4.3,4.3,4.3,4.3,277.43K,Abctrans,ABCTRANS
09/23/2025,4.3,4.3,4.3,4.3,467.59K,Abctrans,ABCTRANS
09/22/2025,4.3,4.3,4.3,4.3,192.57K,Abctrans,ABCTRANS
09/19/2025,4.3,4.3,4.3,4.3,151.14K,Abctrans,ABCTRANS
09/18/2025,4.3,4.3,4.3,4.3,196.20K,Abctrans,ABCTRANS
09/17/2025,4.3,4.3,4.3,4.3,161.58K,Abctrans,ABCTRANS
09/16/2025,4.3,4.3,4.3,4.3,236.67K,Abctrans,ABCTRANS
09/15/2025,4.3,4.3,4.3,4.3,297.54K,Abctrans,ABCTRANS
09/12/2025,4.3,4.3,4.3,4.3,137.39K,Abctrans,ABCTRANS
09/11/2025,4.3,4.3,4.3,4.3,114.67K,Abctrans,ABCTRANS
09/10/2025,4.3,4.3,4.3,4.3,383.42K,Abctrans,ABCTRANS
09/09/2025,4.3,4.3,4.3,4.3,344.38K,Abctrans,ABCTRANS
09/08/2025,4.3,4.3,4.3,4.3,387.90K,Abctrans,ABCTRANS
09/04/2025,4.3,4.3,4.3,4.3,603.03K,Abctrans,ABCTRANS
09/03/2025,4.3,4.3,4.3,4.3,242.09K,Abctrans,ABCTRANS
09/02/2025,4.51,4.3,4.3,4.3,348.80K,Abctrans,ABCTRANS
09/01/2025,4.51,4.51,4.51,4.51,125.35K,Abctrans,ABCTRANS
08/29/2025,4.51,4.51,4.51,4.51,467.38K,Abctrans,ABCTRANS
08/28/2025,4.51,4.51,4.51,4.51,279.33K,Abctrans,ABCTRANS
08/27/2025,5.0,4.55,4.51,4.51,1.48M,Abctrans,ABCTRANS
08/26/2025,5.0,5.0,5.0,5.0,469.44K,Abctrans,ABCTRANS
08/25/2025,5.0,5.0,5.0,5.0,460.26K,Abctrans,ABCTRANS
08/22/2025,5.0,5.0,5.0,5.0,521.01K,Abctrans,ABCTRANS
08/21/2025,5.0,5.0,5.0,5.0,480.67K,Abctrans,ABCTRANS
08/20/2025,5.0,5.5,5.0,5.0,3.07M,Abctrans,ABCTRANS
08/19/2025,5.0,5.5,5.05,5.05,1.25M,Abctrans,ABCTRANS
08/18/2025,4.6,5.0,5.0,5.0,511.03K,Abctrans,ABCTRANS
08/15/2025,4.53,4.98,4.6,4.6,509.30K,Abctrans,ABCTRANS
08/14/2025,4.95,5.44,4.53,4.53,2.11M,Abctrans,ABCTRANS
08/13/2025,4.95,4.95,4.95,4.95,378.89K,Abctrans,ABCTRANS
08/12/2025,4.5,4.95,4.8,4.95,1.49M,Abctrans,ABCTRANS
08/11/2025,5.0,4.55,4.5,4.5,1.37M,Abctrans,ABCTRANS
08/08/2025,5.0,5.0,5.0,5.0,365.73K,Abctrans,ABCTRANS
08/07/2025,4.89,5.0,4.89,5.0,740.05K,Abctrans,ABCTRANS
08/06/2025,4.89,4.89,4.89,4.89,266.24K,Abctrans,ABCTRANS
08/05/2025,4.89,4.89,4.89,4.89,564.92K,Abctrans,ABCTRANS
08/04/2025,4.89,4.89,4.5,4.89,744.50K,Abctrans,ABCTRANS
08/01/2025,4.89,4.89,4.89,4.89,659.17K,Abctrans,ABCTRANS
07/31/2025,4.89,4.89,4.89,4.89,475.89K,Abctrans,ABCTRANS
07/30/2025,5.0,4.89,4.5,4.89,1.23M,Abctrans,ABCTRANS
07/29/2025,5.0,5.0,5.0,5.0,655.62K,Abctrans,ABCTRANS
07/28/2025,4.59,5.0,4.7,5.0,1.93M,Abctrans,ABCTRANS
07/25/2025,4.59,4.59,4.59,4.59,862.65K,Abctrans,ABCTRANS
07/24/2025,5.1,4.59,4.59,4.59,1.20M,Abctrans,ABCTRANS
07/23/2025,5.1,5.1,5.1,5.1,233.60K,Abctrans,ABCTRANS
07/22/2025,5.5,5.1,5.1,5.1,747.78K,Abctrans,ABCTRANS
07/21/2025,5.65,5.5,5.09,5.5,1.43M,Abctrans,ABCTRANS
07/18/2025,5.69,6.25,5.65,5.65,1.91M,Abctrans,ABCTRANS
07/17/2025,5.18,5.69,5.29,5.69,1.49M,Abctrans,ABCTRANS
07/16/2025,4.83,5.18,4.83,5.18,2.35M,Abctrans,ABCTRANS
07/14/2025,4.4,4.83,4.7,4.83,906.36K,Abctrans,ABCTRANS
07/11/2025,4.3,4.4,4.3,4.4,2.07M,Abctrans,ABCTRANS
07/10/2025,3.91,4.3,4.3,4.3,1.12M,Abctrans,ABCTRANS
07/09/2025,3.56,3.91,3.91,3.91,831.05K,Abctrans,ABCTRANS
07/08/2025,3.24,3.56,3.2,3.56,2.02M,Abctrans,ABCTRANS
07/07/2025,2.95,3.24,3.03,3.24,885.25K,Abctrans,ABCTRANS
07/04/2025,2.95,2.95,2.95,2.95,675.47K,Abctrans,ABCTRANS
07/03/2025,2.69,2.95,2.9,2.95,1.15M,Abctrans,ABCTRANS
07/02/2025,2.45,2.69,2.69,2.69,244.47K,Abctrans,ABCTRANS
07/01/2025,2.45,2.45,2.45,2.45,189.97K,Abctrans,ABCTRANS
06/30/2025,2.45,2.45,2.45,2.45,323.05K,Abctrans,ABCTRANS
06/27/2025,2.45,2.45,2.45,2.45,184.47K,Abctrans,ABCTRANS
06/26/2025,2.69,2.85,2.45,2.45,1.19M,Abctrans,ABCTRANS
06/25/2025,2.6,2.69,2.34,2.69,3.80M,Abctrans,ABCTRANS
06/24/2025,2.6,2.6,2.6,2.6,337.61K,Abctrans,ABCTRANS
06/23/2025,2.7,2.6,2.6,2.6,724.68K,Abctrans,ABCTRANS
06/20/2025,2.7,2.7,2.7,2.7,865.31K,Abctrans,ABCTRANS
06/19/2025,2.72,2.74,2.7,2.7,998.13K,Abctrans,ABCTRANS
06/18/2025,2.7,2.72,2.72,2.72,18.58M,Abctrans,ABCTRANS
06/17/2025,2.64,2.7,2.7,2.7,299.24K,Abctrans,ABCTRANS
06/16/2025,2.64,2.64,2.64,2.64,980.77K,Abctrans,ABCTRANS
06/13/2025,2.64,2.64,2.64,2.64,542.54K,Abctrans,ABCTRANS
06/11/2025,2.4,2.64,2.64,2.64,698.52K,Abctrans,ABCTRANS
06/10/2025,2.4,2.4,2.4,2.4,380.64K,Abctrans,ABCTRANS
06/05/2025,2.66,2.6,2.4,2.4,731.71K,Abctrans,ABCTRANS
06/04/2025,2.66,2.66,2.66,2.66,1.15M,Abctrans,ABCTRANS
06/03/2025,2.95,2.95,2.95,2.95,969.11K,Abctrans,ABCTRANS
06/02/2025,2.95,2.95,2.95,2.95,637.13K,Abctrans,ABCTRANS
05/30/2025,2.95,2.95,2.95,2.95,805.53K,Abctrans,ABCTRANS
05/29/2025,2.95,2.95,2.95,2.95,823.65K,Abctrans,ABCTRANS
05/28/2025,2.7,2.95,2.83,2.95,1.90M,Abctrans,ABCTRANS
05/27/2025,2.7,2.7,2.7,2.7,416.54K,Abctrans,ABCTRANS
05/26/2025,2.49,2.7,2.4,2.7,2.24M,Abctrans,ABCTRANS
05/23/2025,2.27,2.49,2.2,2.49,2.28M,Abctrans,ABCTRANS
05/22/2025,2.27,2.27,2.27,2.27,919.65K,Abctrans,ABCTRANS
05/21/2025,2.4,2.27,2.27,2.27,912.17K,Abctrans,ABCTRANS
05/20/2025,2.66,2.52,2.4,2.4,2.03M,Abctrans,ABCTRANS
05/19/2025,2.95,2.72,2.66,2.66,1.20M,Abctrans,ABCTRANS
05/16/2025,2.95,2.95,2.95,2.95,102.66K,Abctrans,ABCTRANS
05/15/2025,2.91,2.95,2.95,2.95,588.59K,Abctrans,ABCTRANS
05/14/2025,2.91,2.91,2.91,2.91,761.39K,Abctrans,ABCTRANS
05/13/2025,3.1,2.91,2.87,2.91,1.78M,Abctrans,ABCTRANS
05/12/2025,2.86,3.1,3.1,3.1,1.37M,Abctrans,ABCTRANS
05/09/2025,2.51,2.86,2.51,2.86,4.33M,Abctrans,ABCTRANS
05/08/2025,2.4,2.6,2.6,2.6,723.01K,Abctrans,ABCTRANS
05/07/2025,2.28,2.5,2.3,2.4,1.71M,Abctrans,ABCTRANS
05/06/2025,2.37,2.28,2.28,2.28,903.29K,Abctrans,ABCTRANS
05/05/2025,2.26,2.39,2.37,2.37,1.13M,Abctrans,ABCTRANS
05/02/2025,2.06,2.26,2.26,2.26,1.60M,Abctrans,ABCTRANS
04/30/2025,1.88,2.06,2.06,2.06,2.19M,Abctrans,ABCTRANS
